Number of model parameters: 5224768
0.001
Iter 0 training loss = 84.680 , time = 3.57
Iter 1 training loss = 16.215 , time = 2.50
Iter 2 training loss = 32.879 , time = 2.49
Iter 3 training loss = 98.038 , time = 2.50
Iter 4 training loss = 32.377 , time = 2.50
Iter 5 training loss = 26.527 , time = 2.49
Iter 6 training loss = 23.557 , time = 2.51
Iter 7 training loss = 69.548 , time = 2.50
Iter 8 training loss = 9.570 , time = 2.51
Iter 9 training loss = 36.274 , time = 2.51
Iter 10 training loss = 14.986 , time = 2.52
Iter 11 training loss = 16.185 , time = 2.52
Iter 12 training loss = 5.601 , time = 2.52
Iter 13 training loss = 20.752 , time = 2.53
Iter 14 training loss = 56.517 , time = 2.53
Iter 15 training loss = 10.953 , time = 2.53
Iter 16 training loss = 28.349 , time = 2.55
Iter 17 training loss = 15.076 , time = 2.54
Iter 18 training loss = 9.007 , time = 2.55
Iter 19 training loss = 15.190 , time = 2.56
Iter 20 training loss = 23.380 , time = 2.55
Iter 21 training loss = 13.563 , time = 2.56
Iter 22 training loss = 22.724 , time = 2.56
Iter 23 training loss = 9.433 , time = 2.56
Iter 24 training loss = 64.307 , time = 2.57
Iter 25 training loss = 15.267 , time = 2.57
Iter 26 training loss = 9.689 , time = 2.57
Iter 27 training loss = 3.695 , time = 2.58
Iter 28 training loss = 1.719 , time = 2.57
Iter 29 training loss = 10.121 , time = 2.57
Iter 30 training loss = 7.510 , time = 2.59
Iter 31 training loss = 18.981 , time = 2.59
Iter 32 training loss = 27.446 , time = 2.59
Iter 33 training loss = 36.605 , time = 2.60
Iter 34 training loss = 9.006 , time = 2.59
Iter 35 training loss = 14.579 , time = 2.60
Iter 36 training loss = 8.128 , time = 2.60
Iter 37 training loss = 7.194 , time = 2.61
Iter 38 training loss = 5.314 , time = 2.61
Iter 39 training loss = 5.045 , time = 2.61
Iter 40 training loss = 12.494 , time = 2.61
Iter 41 training loss = 4.262 , time = 2.61
Iter 42 training loss = 14.185 , time = 2.62
Iter 43 training loss = 10.084 , time = 2.62
Iter 44 training loss = 5.669 , time = 2.63
Iter 45 training loss = 18.593 , time = 2.63
Iter 46 training loss = 7.017 , time = 2.63
Iter 47 training loss = 5.908 , time = 2.63
Iter 48 training loss = 8.598 , time = 2.64
Iter 49 training loss = 5.027 , time = 2.64
Iter 50 training loss = 12.750 , time = 2.64
Iter 51 training loss = 5.113 , time = 2.64
Iter 52 training loss = 10.689 , time = 2.64
Iter 53 training loss = 12.345 , time = 2.65
Iter 54 training loss = 28.062 , time = 2.65
Iter 55 training loss = 5.976 , time = 2.65
Iter 56 training loss = 11.162 , time = 2.65
Iter 57 training loss = 8.712 , time = 2.65
Iter 58 training loss = 4.268 , time = 2.66
Iter 59 training loss = 7.671 , time = 2.65
Iter 60 training loss = 3.818 , time = 2.66
Iter 61 training loss = 9.135 , time = 2.67
Iter 62 training loss = 9.116 , time = 2.66
Iter 63 training loss = 10.009 , time = 2.67
Iter 64 training loss = 7.177 , time = 2.67
Iter 65 training loss = 9.429 , time = 2.68
Iter 66 training loss = 14.218 , time = 2.69
Iter 67 training loss = 37.278 , time = 2.72
Iter 68 training loss = 9.834 , time = 2.68
Iter 69 training loss = 14.116 , time = 2.68
Iter 70 training loss = 14.127 , time = 2.69
Iter 71 training loss = 58.238 , time = 2.68
Iter 72 training loss = 10.841 , time = 2.69
Iter 73 training loss = 2.769 , time = 2.69
Iter 74 training loss = 15.064 , time = 2.73
Iter 75 training loss = 12.104 , time = 2.70
Iter 76 training loss = 6.174 , time = 2.69
Iter 77 training loss = 10.235 , time = 2.71
Iter 78 training loss = 4.762 , time = 2.70
Iter 79 training loss = 11.031 , time = 2.70
Iter 80 training loss = 9.616 , time = 2.70
Iter 81 training loss = 8.712 , time = 2.70
Iter 82 training loss = 9.303 , time = 2.71
Iter 83 training loss = 10.469 , time = 2.71
Iter 84 training loss = 2.202 , time = 2.71
Iter 85 training loss = 6.756 , time = 2.71
Iter 86 training loss = 10.340 , time = 2.72
Iter 87 training loss = 6.953 , time = 2.72
Iter 88 training loss = 6.833 , time = 2.72
Iter 89 training loss = 16.646 , time = 2.77
Iter 90 training loss = 10.307 , time = 2.72
Iter 91 training loss = 5.759 , time = 2.73
Iter 92 training loss = 6.352 , time = 2.77
Iter 93 training loss = 2.644 , time = 2.74
Iter 94 training loss = 6.775 , time = 2.73
Iter 95 training loss = 7.281 , time = 2.78
Iter 96 training loss = 10.803 , time = 2.76
Iter 97 training loss = 42.380 , time = 2.76
Iter 98 training loss = 18.003 , time = 2.76
Iter 99 training loss = 3.944 , time = 2.77
Iter 100 training loss = 3.974 , time = 2.78
Iter 101 training loss = 15.320 , time = 2.77
Iter 102 training loss = 6.715 , time = 2.77
Iter 103 training loss = 5.302 , time = 2.78
Iter 104 training loss = 3.930 , time = 2.76
Iter 105 training loss = 6.350 , time = 2.79
Iter 106 training loss = 9.148 , time = 2.78
Iter 107 training loss = 13.220 , time = 2.78
Iter 108 training loss = 5.450 , time = 2.78
Iter 109 training loss = 2.353 , time = 2.79
Iter 110 training loss = 5.616 , time = 2.78
Iter 111 training loss = 5.579 , time = 2.79
Iter 112 training loss = 10.222 , time = 2.79
Iter 113 training loss = 4.868 , time = 2.79
Iter 114 training loss = 10.869 , time = 2.80
Iter 115 training loss = 10.108 , time = 2.79
Iter 116 training loss = 7.191 , time = 2.77
Iter 117 training loss = 4.173 , time = 2.78
Iter 118 training loss = nan , time = 2.63
Iter 119 training loss = 8.003 , time = 2.80
Iter 120 training loss = 5.561 , time = 2.79
Iter 121 training loss = 14.800 , time = 2.80
Iter 122 training loss = 5.616 , time = 2.82
Iter 123 training loss = 9.179 , time = 2.82
Iter 124 training loss = 5.923 , time = 2.80
Iter 125 training loss = 3.982 , time = 2.81
Iter 126 training loss = 11.155 , time = 2.84
Iter 127 training loss = 2.735 , time = 2.78
Iter 128 training loss = 4.515 , time = 2.78
Iter 129 training loss = 4.882 , time = 2.79
Iter 130 training loss = 12.101 , time = 2.79
Iter 131 training loss = 4.010 , time = 2.79
Iter 132 training loss = 6.953 , time = 2.79
Iter 133 training loss = 5.280 , time = 2.83
Iter 134 training loss = 3.942 , time = 2.82
Iter 135 training loss = 4.444 , time = 2.84
Iter 136 training loss = 9.158 , time = 2.81
Iter 137 training loss = 12.049 , time = 2.84
Iter 138 training loss = 6.157 , time = 2.82
Iter 139 training loss = 6.582 , time = 2.83
Iter 140 training loss = 1.919 , time = 2.82
Iter 141 training loss = 4.956 , time = 2.83
Iter 142 training loss = 5.886 , time = 2.84
Iter 143 training loss = 4.221 , time = 2.84
Iter 144 training loss = 6.456 , time = 2.84
Iter 145 training loss = 5.390 , time = 2.83
Iter 146 training loss = 40.287 , time = 2.83
Iter 147 training loss = 11.069 , time = 2.84
Iter 148 training loss = 4.866 , time = 2.84
Iter 149 training loss = 5.313 , time = 2.84
Iter 150 training loss = 4.236 , time = 2.84
Iter 151 training loss = 7.084 , time = 2.84
Iter 152 training loss = 3.431 , time = 2.84
Iter 153 training loss = 39.326 , time = 2.84
Iter 154 training loss = 6.892 , time = 2.84
Iter 155 training loss = 5.499 , time = 2.84
Iter 156 training loss = 8.361 , time = 2.84
Iter 157 training loss = 10.494 , time = 2.84
Iter 158 training loss = 6.705 , time = 2.82
Iter 159 training loss = 4.184 , time = 2.85
Iter 160 training loss = 9.725 , time = 2.86
Iter 161 training loss = 16.046 , time = 2.84
Iter 162 training loss = 5.234 , time = 2.85
Iter 163 training loss = 4.699 , time = 2.84
Iter 164 training loss = 6.540 , time = 2.85
Iter 165 training loss = 19.094 , time = 2.84
Iter 166 training loss = 11.569 , time = 2.85
Iter 167 training loss = 4.139 , time = 2.86
Iter 168 training loss = 1.758 , time = 2.86
